,Review
216,"Honestly people who have rated this movie as a ""masterpiece"" need to start watching some actual masterpieces. Predictable over indulgent and simplistic (not in a good way). You could see every ""climax"" 10 mins before it happens. Good things and why I have it 4. 1.Score 2.Cinematography 3.Art direction 4.Music choice

Film makers need to start making some good films!"
217,"If you didn't feel his pain, you have no soul. Amazing acting by Joaquin Phoenix."
218,"Joker is yet another comic book cinematic masterpiece from DC, a rare jem which seamlessly combines a villain origin story with an enthralling and somewhat nuanced look at mental breakdown and working class living. The most dramatic scenes will leave you (in my case, literally) on the edge of your seat, with Phoenix's performance and Phillip's direction being an absolute recipe for success. An instant classic for comic book fans and human drama fanatics alike, with a fantastic 70s aesthetic, asserting again the ""true"" golden age of the cinema and of urban realist filmmaking, in a new context. Loved it! A must-watch!"
219,"Wow. This film is more realistic than any other comic book character, ever. Joaquin Phoenix will finally get his Oscar, as will Todd Phillips for bringing his brilliant vision to life. This film is perfection in every aspect, although I would've liked the pace a little faster with about 10 min of 122 min runtime trimmed down. Still, wow. 9/10 from me."
220,"Joaquin Phoenix has done a brilliant job in the movie and you get carried away with this character, his philosophy so much so that you think he is right everytime. That's when you have impressed as an actor. Was truly lucky to catch this one in the theatres."
221,"The ultimate goal of the film is to make you uncomfortable. Does it succeed? It really does. This movie isn't for everyone, but it's a very unique and well-done film with top notch acting."
222,"This movie gave an insight to the picture of mental illness and how consuming it is. If people want to say this movie is ""dark"" it's the picture of that real disease. For me this movie was a true pleasure, Joaquin absolutely poured all of his talent into his role. His portrayal brought to light the real reason The Joker became such the character. His performance alone made this a must see if you are a fan of Batman."
223,"This movie's tone is dark, chilling, haunting, violent and at times actually funny. I thought overall this movie could have been better, but it's still a good movie. It kind of starts slow, but as it goes on it gets better and the ending is the best part of the movie. Heath Ledger is still my favorite Joker, but Joaquin Phoenix is still great with his own interpretation of Joker. I personally would love to see a sequel that has Joker taking on Batman. Also be aware that this is not your typical supervillain origin story. This is a psychological drama that explains the origin of Joker and focuses more on story and character development than on action and special effects. This movie reminds me a lot of Taxi Driver, which Robert De Niro was also in."
224,The best movie of the year Every one needs to watch it
225,"Not sure what others see in this movie. J. Phoenix delivers an amazing performance, yes, but that's basically all this movie has going for it. Ok, the cinematography is good and production values are high. But apart from this, the plot is boring and the references to Batman's universe feel forced. I watch the movie and only see a mentally unstable and sick man getting worse and worse, with a background of social unrest in the city. Also, the Joker was a cunning and cruel villain, so I don't think it's a good choice to make him start as a failed sad clown, where is the intelligence, the ambition? I don't think the clown is the core of this character, but rather a chosen aesthetic that has certain meaning. In summary, I find a disconnection between the character of the Joker in Batman and this guy that we see turning crazy here."
226,"Not sure what kind of message this movie is supposed to send. Or is it supposed to be just fun, because it's not. I don't sympathize with the main character at all, throughout the whole movie he would get on my nerves. I was waiting entire time for the plot to start revolving and when it finally did, the movie was over and left me with a feeling that I've waisted two hours of my life on nothing. For a movie with this high rating I expected to see something fresh and inspirational and somehow it seems to me all the scenes and acting I've seen in this movie I saw a thousand times in bunch of other movies, like it was cliche after cliche. Yawn festival."
227,"Joaquin Phoenix Is simply outstanding! One of the best films I've seen for years.. just absolutely loved it!!

And the Oscar goes to..."
228,"This movie was made by expert psychologists! This movie is far beyond filmography.

I also think main actor should get enough money to take a long, long pause from movie making. Pure 10... 11!"
229,"An anarchist, his falling apart life and a city on edge -- what else you need to make a gritty, dark and violent biography of one of the greatest villain of cinematic history.

Todd Phillip's Joker ticks all the box when it comes to making an edgy and dark film like this. Splashing blood, outrageous deaths and a world which is crumbling apart. This film has everything. But the soul of this film is Joker himself. This rendition of Joker, very skillfully takes inspiration from all the past presentations and yet able to put a breath of fresh air on this legendary character.

Joaquin Phoenix's performance is not just breathtaking but strangely satisfying. Playing Joker on screen is perhaps one of the toughest jobs an actor can have. People have high hopes. And after Ledger's performance, Phoenix had a big shoe to fill in. But he shines in this film. The ease with which Phoenix carries out the role, speaks volume about his acting callibre.

About the other aspects of the film, the cinematography is on point. It very craftily captures the city from Joker's eyes. It shows his struggle and his making. The audience was very much used to watching Gotham from Batman's eyes, but perhaps for the first time, we as an audience has access to the other side of the narrative.

Speaking of the other side, this film very successfully shows the class struggle we humans have to endure. Moreover it shows the cycle of hate and crime, which effects the Gotham City and also eventually the life of our own Bruce Wayne.

This film is a must watch. Although it might not be the best DC film ever to come, but it certainly is a living tribute to probably the greatest and most nuanced character humans have ever created."
230,"Read all you like about ""Joker"" - there is nothing that will prepare you for the gut-punch to come. This is less ""The Dark Knight"" and more ""Taxi Driver"" but make no mistake, it feels like the most original take you have ever seen on a well-worn genre. It is an uber-violent character study of a mentally ill man trying to survive in a bleak society that is failing him. It is an immersive and cathartic experience, and an enthralling and uncomfortable one for the viewer.

If there is a more perfect performance than Joaquin Phoenix commands in this film, I would love to debate it. His depth and range is an acting masterclass and somehow demands empathy in a violent and disturbed character.

Todd Phillips stamps himself as a modern master with this film. The look and feel of the film has such pace and menace, yet at the same time creates a claustrophobic atmosphere.

It is a brilliant film. I hope people continue to see it as a cinematic masterpiece and it doesn't get caught up in politics or become part of a narrative of the sometimes flawed society we live in ourselves."
231,"I haven't been this obsessed with a movie since I saw Taxi Driver 30 years ago...and my obsession for Joker surpasses it in spades. Everyone else has said all there is to say, I can't really add to it other than to say it almost feels pointless to go to the movies after seeing this because it's impossible for anything to compare. I can't explain why it's so good, you just have to see it. The directing, cinematography, music, screenplay, and of course the jaw dropping acting....everything about it is flawless. The timing of the film is uncomfortable, yes, but I think it's needed. Joker doesn't teach us to be violent. It teaches us to STOP BEING SUCH ***HOLES TO EACH OTHER.

I understand that not everyone will connect with this film or ""get it"". And you're not supposed to. This is a film for those who relate to it in some way and not everyone will. But if you do, if you get it, you won't ever see a more remarkable and all consuming film. It's truly astonishing filmmaking.

And if it doesn't sweep every category at the Oscars because of controversy then shame on the Academy and shame on everyone voting."
232,Joker lulls and meanders in certain parts but overall it is a masterpiece. It serves as an all too real portrayal of the gutter of unchecked capitalism. This is riveting fiction but a haunting reflection of reality - a comic book movie only by association.
233,"The acting was totally impeccable. But the movie, It did not keep me interested the whole time. On my opinion it was just a movie played by some terrific actors."
234,"It's hard to watch at times, yet you can't look away. Phoenix is compelling in this role, and because of the types of roles he selects (dark characters), I doubt he will ever get the credit he deserves. I've reached the point where if Joaquin is in it, I'm watching.

DeNiro on the other hand, is mailing it in as is his current style. That he plays a dopey game show host is somewhat fitting. If you know who Joe Franklin was, it is a pretty accurate portrayal, but sadly, Bobby has become a parody.

You know what's coming, but not how its coming. I was very sympathetic to his character. He was a loner, subjected to lots of emotional abuse. Its really amazing, but it's not for everybody."
235,"As films go it is ok, it is not a super villain movie so do not go expecting so. It's basically a film about mental health and one man's downward spiral into a very dark place. I feel we are suffering from a case of the Emperors new clothes unfortunately."
237,"Overall Great movie!!! (writing, direction, acting) I am excited to see if it's strength raises the bar for newer releases. It's plot sings the blues of the jokers story and does so with nostalgic aesthetics- combining ""Taxi driver"" psycology with a ""King of Comedy"" theme (Coincidently two movies starring De Niro & directed by Scorsese). The emphasis was heavy on the mental illness and misfortunes of Arthur Fleck but unexplored were the entertaining/ musicality traits of a joker. The playfulness that was expressed through the character seemed more-so of Joaquin Phoenix and less in the spirit of Joker. Throughout the movie the Joker is portrayed as self conscious and the resolution/ climaxed rebellion is an out-cry from that- not so much on his real connection to Gotham or a villainous reign. That said I don't see this Joker bright enough to be an infamous, self sustaining, street-wise villain."
238,I'm blown away by Joaquin Phoenix's performance. He totally inhabits the persona . I couldn't tear my eyes away. Mesmerising. That dance on the steps surely must go down as one of the most iconic scenes ever and using Gary Glitters music subversive. The movie is absorbing and disturbing. The violence makes an impact would being too gory. You could read a lot of symbolism into the the movie. A parable of our times? I just let it wash over and immerse me. Highly recommended!
239,This is one of the best movies of this year. And i really expect it to be nominated for an oscar. It's not related to DCEU . And it was beyond my expectations.
241,"There are tons of reviews focusing on the extraordinary acting of Joaquin Phoenix, so I am skipping that part. I would like to make comments on the heated discussion that whether this movie glorifies the violence.

Right off the ""bat"", I think it doesn't. Joker beautifully portrays how villains/monsters emerge and rise to power in a society.

The dominant Western culture dictates that being good or bad is a completely personal choice and no society should be blamed for the rotten apples among them. On the other hand, leftist approaches tend to put the blame on the socio-economical structures of a society and they claim that the system produces such abnormalities.

This fine piece of art takes a balanced attitude that blends the two extreme wiews summarized above. Arthur was a mentally disturbed person long before emerging as the Joker. He was delusional, depressed, and he had many social anxieties to prevent him of being a functioning member of a society. So, why did he become a villain, among many other troubled people? Because the society he lives in was corrupted and it was causing unrest. Ordinary people were already looking for an icon to channel their rages and discontent towards.

So, for a true villain to rise, there must be a perfect combination of personal and sociological conditions. In the absence of psychological troubles, the villain candidate can't go the extra mile and endure such a depraving journey. On the other hand, in the absence of a truly corrupt and disgusting societal background, actions of a villain candidate would be considered unnecessary violent acts and as a result, the masses would not approve him/her. This is one of the main reasons why the people don't embrace lone wolf attacks nowadays. Despite all the problems they have, societies don't need a villain and that's why the villain candidates are mostly labelled as the depraved crazies.

To wrap it up, the movie doesn't glorify the violence at all. It demonstrates the psychological and sociological conditions of a villain emerging and being widely accepted by an imaginary society. Actually, it's a free lesson for the policymakers all around the world. If you invest on the mental health of individuals and rule them fairly, the Joker can't be around."
242,"Truly a masterpiece, The Best Hollywood film of 2019, one of the Best films of the decade... And truly the Best film to bring a comic book so chillingly and realistically to real ife. Remarkable Direction, Cinematography, Music and the Acting. Some people are surprised to find it DISTURBING and VIOLENT, but it's a necessity and message. It's about society and reflects those underappreciated/unrecognized/bullied people, proving they can do something too. The way it shows class difference, corruption and how rich and talented rule others around them is not exaggerated and that's what makes it different. It's BELIEVABLE. There could be multiple JOKERs living in our society that could shake those around them in much bitter way than the film shows making people uncomforting people. Consider this a wake up call, a message, but first a film. A PERFECT film."
243,"Very good acting performance - but the movie itself left a lot to be desired. How to make a 2 hour movie all about one role/actor? Dont. There was so much attention paid to the Joker role that all the other participants in the movie were overlooked and it left the movie shallow and devoid of depth. It was obvious from early on what was going on and I was thinking ""I can see where this is going"" and I was right. It was like going to see Laurence Olivier in Richard 3rd on the stage - you know exactly what you are going to get - it is all about his performance. But IMO a movie that attempts such a feat will always fall flat - because the 'feel' between stage and film as so vastly different. To all the millenials today - if you liked the acting performance in this movie go watch a good Broadway stage play - get over the comic movies and learn how to live."
244,"Phoenix convinces me that he has always meant to be the joker. The movie went beyond my expectations, so many emotions went through me these couple hours. I think because its rated R, Phoenix was able to unlock jokers full psychotic potential as the character he is meant to be. This was an AMAZING story, and it calls for more. And I mean a build up, a second movie, maybe one with batman? My hopes are too high at this point, but nevertheless, brilliant goddamn movie and THE BEST joker ever played hands down."
245,"Joaquin Phoenix's performance is excellent, but the film is flawed, the main offenders being a second act twist that's visible a mile away and a small scene during the ending that feels tacked on.

However, you should see this film at least once."
246,"A deep scan of reviews has fans that can understand depression become overwhelmed with empathy. There is a reason for everything, and understanding the context of a nostalgic character like the joker is what works.

There was not a faithfulness to the scenes in Batman begins. Police chief introduces him during the outro as someone fairly unknown not a state wide celeb as played out in this film, that break in story continuity ruins it for me.

Likewise the reinterpretation of Mr Wayne as something he never was. This takes away from the moral clarity of the pending superhero Batman.

The greed narrative feels like its something that was force fed without rhyme or reason. While the joker had a substantial arc, the sub plots did not.

Nostalgia is what brings the film to life, there is not many ways to not make money from iconic characters, this film should have been attempted years ago!

Over the years Hollywood actors have been applauded for playing villians which is the easiest character study of them all. Whats hard is being protector of the realm without it feeling preachy or cheesy. These roles get a natural upscaling.

The main plot element of inviting Arthur onto the talk show was not convincing, the stand up performance was not in the genre of 'so bad its good' his first vision from the audience defending his mother was however powerful and well written.

A cameo for Alfred the butler would have been special and really pulled us back into the story.

The ways this film was lauded in its first week was ridiculous, it does drag in many places over the 2hr hour screening.

All the theatrical trailers were an 8 so many of us expected more. To say this is a better production than Batman Begins is shocking.

The difficult reality to bare in this over hyped rating and cultural reality is many people in our age really feel like this and are on the verge of rioting after life takes its toll.

The broken man whose mental instability and illness is the catalyst for what Arthur Fleck eventually becomes is a great story that can be told a million ways, this was not executed well.

The dream sequences worked well but the device was still not as good as Heath Ledgers raw portrayal of a psychopathic megalomaniac and the cinematography of Nolan in related films.

Simple plot failures like the police not being able to catch up with Arthur who was not trying to be careful was disappointing and took me right out of the story.

A good ensemble of actors can't save a bad script, why was this rushed to production? Something as important as Batman origin stories need much more careful work. I believe over time this score must average out and down.

Was this an homage to ""Taxi Driver"" or ""The King of Comedy"" apparently not. The opportunity for genuine franchise building was surprisingly tossed away and will be hard to repair.

Critics who use the word 'masterpiece' and 'groundbreaking' need to have a long hard look at themselves, their surroundings and the education that they all seem to share. There is F all diversity in this mob who keep playing us."
247,"I had avoided all the trailers and press on this film and in all honestly, didn't expect much from it. DC films haven't been the greatest over the past lot of years and here we are again with WB trying to go down another route to try and make something of it...

Well - I'm only glad they did.

Joker is quite simply one of the finest pieces of film I have seen in a long time - especially from Hollywood, which isn't too often. From Joaquin's incredible performance (just amazing), to the stunning cinematography and score, I just can't think of a single moment that lost me.

Well done Todd Phillips and team, and well done Joaquin for the greatest performance of the Joker ever!"
248,The story was interesting and well written. Joaquin's performance and scenography was brilliant. It was an emotional rollercoaster. One of the best character developments I have ever seen. You even feel sorry for the character even though he is killing people.
249,"This is one of the best movies I have ever seen, the use of color and the story were seamless"
250,"If you're on the fence like I was thinking it was hype and almost didn't watch it, you must!

Dark knight doesn't even compare and the way it's tied into the beginning of Batman is amazing!

Hands down the best movie in the Batman universe ever made, hoping for more from this director."
251,"I really liked this film. Like its one of the most beautiful tragedy films i have every seen. But I watched it with my friends and they didn't like it. So if you like slow, tragedy and good acting films. Go for it."
252,It's not possible to say everything about this masterpiece. But i can say this and insure you that It's not only about the time you spent in the theatre but also time you will keep thinking about this movie even after you walks out.
253,"JOKER is astounding and confrontational. It covers issues like mental illness, class warfare, guns, societal breakdown, etc., while presenting a ""villain"" in Arthur Fleck (Joaquin Phoenix) who is as sympathetic as he is terrifying. Filled with uncomfortable, even shocking moments, as well as unsettling comedic elements, some scenes will make many viewers squirm!

Arthur is the overlooked, dismissed ""nobody"", forced to believe he doesn't even exist. He's a man in desperate need of help. Unfortunately, Gotham city isn't the place to find it. As his mind begins to shatter, Arthur has no idea what's coming his way. He simply finds his strength in a sudden act of violence, and somehow taps into the void within those around him, ultimately becoming a sort of messiah.

The mesmerizing Mr. Phoenix uses his body as much as his dialogue to bring both Arthur and his alter ego to life. This is a movie to be watched and taken seriously, in spite of its comic book origins. It's as much a serious statement as it is entertainment. Multiple viewings recommended..."
254,"It is whatever you want it to be. If you want to hate it, you'll hate it. If you want to love it, you'll love it. Be optimistic."
255,"I'm not a big fan of comic books, as the matter of fact I never read one and I usually don't care about movies based on them, Batman, Spiderman, Captain America, Marvel, DC, whatever... I'm a sucker for psychology movies and that's why I watched this one. And oh boy was it a good decision! If you're expecting your typical comic book-y Joker vs Batman, good vs evil kind of thing you will be disappointed. This is a study of REAL human madness, it's a critic of modern society, it's as real as it gets. Joker is a flawless movie, by far the greatest masterpiece of 21st century, and I am expecting at least one Oscar. And if it gets a sequel as good as this, that sequel deserves Oscar too. I've already seen it twice and I think I didn't have enough of it so I'll watch again"
257,"This film tries desperately to devillify the most stylish and charismatic villain in the DC universe and excruciatingly transform him into a poster child for mental illness in the most tedious manner possible.. This version of the Joker lacks any semblance of style, luster, flair, or charisma, leaving me to wonder why anyone would bother investing the time and money required to create this turkey, much less watch it.

They've murdered the Joker for the sake of some social commentary and PC promotion. I don't deny that mental illness is a real issue or that attention should be brought to it, but folks watch movies about supervillians to see super-villainy, not a 2 hour public service announcement. I hung in there as long as I could hoping for this movie to redeem itself, but about 3 quarters of the way through I could take no more of watching it spin it's wheels.

If you are a fan of the Jack Nicholson or Heath Ledger versions of the Joker then you will likely find this film as painful to watch as I did."
258,"As an DC fanboy lost hope on DC when they made JL, but i eventually started going back to the cinemas after Wonderwomen and Aquaman. When The Joker film was announced as Joaquin pheonix in the lead i must say i had my doubts. I was pretty sure noone could even match Heath ledger's Joker.. I was wrong. This might be the best DC film ever made! Joaquin pheonix did the impossible. Mindblowing performance as the joker! The best after Heath Ledger! Movie of the year! The laughs, screams, craziness and the dark psychological sufferings of the Joker will haunt you for the rest of the year. I must say The Joker is back! Trust me on this! 9/10 on this one!

P.S This is my second 9/10 for a DC movie after TDK."
259,"Many of us over the years have been attached and thrilled with the ""Clown Prince of Crime"" as D.C. comic fans know as the one and only ""Joker"". And we've seen different takes and spins from Romero's camp, to Ledger's dark wild crazy turn, and the man the one and only Jack played the clown with vanity and brought a proper turn to a bad guy while having fun(Nicholson's ""Joker"" was like that of the late 70's early 80's ""Joker"" in D.C. comics) now enter Phoenix who's much different with a creepy origin story.

Set in the early 1980's Gotham city is gritty, raw and the social and political climate is in the gutter as just getting by is so tough. And just tip toeing and dancing his way thru the drama is Arthur Fleck(in a hell of a turn from Joaquin at least nominate him for a ""Golden Globe"" or ""Oscar"") a lonely and depressed mommies boy who's a skinny starving clown who just can't fit in he's a society misfit. It's really somewhat of a sad character study.

However hope is possible in the form of Fleck wanting to get away from being a clown for children as his real dream is to be a standup comedian as his smile and crazy lasting laugh is always present! As laughter is the cure for his pain! His hope of escape is to appear on a late night talk show hosted by Murray Franklin(Robert De Niro) where Arthur hopes to showcase his talents. Also the only other wild card pleasure he has in his life is dating a single mom named Sophie(Zazie Beetz) from his apartment building. And his sick mother Penny keeps Arthur hanging on with love and hope as that keeps him hanging on.

Only secrets and ghost of the past and painful memories only destroy the fragile mind of Arthur even more as a connection to millionaire Thomas Wayne is revealed and even more shattering is how this connection and more events will lead to ""The Dark Knight"". Great and excellent work from director Todd Phillips who despite making a stand alone dark character study still connects things up with others in the D.C. universe.

Many might see this picture as a dark tragedy I think it's a take and spin on how one is affected by life and then they take on a different role after years of being abused and mistreated in the world by it's people. Still this film is excellent because it's unique and finally glad a stand alone movie celebrates ""The Joker""(the greatest comic book bad guy ever!) As Joaquin's performance was raw, gritty, and a lashing out of some payback to society. Wow enough said best D.C. comics character study ever made!"
260,"""Joker"" Review (9.5/10)

I was close to giving this movie a ten out of ten, but then I thought to myself is it wrong for me to think that Joker is brilliant and unsettling all in one? Todd Phillips and Joaquin Phoenix have not just reimagined one of the most iconic villains in cinema history, but reimagined the comic book movie itself. ""I just don't want to feel so bad anymore,"" whispers Arthur, who's also on seven different types of medication and has been in the system for most of his life. A system that now has no resources or time for him. A desperate whisper that you know won't be heard by anyone. That simply signifies the beginning of both a descent and his path to becoming the Joker. This is ultimately what Joker is: an origin story. One that touches only ever so lightly on what has come before in the DC Universe. This could, particularly in the current climate, be viewed as a lament for outsiders and the ignored. That's too simple and Joker does anything but deliver you easy answers. It's a sad, chaotic, slow-burn study of someone who isn't visible; who doesn't even exist to the world around them. But your empathy, sympathy even, isn't guaranteed, and it begins to dissolve as Arthur somehow moves even further to the edges. This is, we mustn't forget, the story of how a villain was made. As Arthur/Joker, Joaquin Phoenix is astonishing. Phillips has said he had a picture of the actor above his screen when writing the script and it's a belief that has paid off. Phoenix inhabits Arthur: having lost weight for the role, he looks thin, frail, hungry. Shadows carve out his exposed bones. His physicality is precise, the way he moves, shuffles, runs, sits, smokes, shrinks. His usual intensity is on full display and it's captivating, even overwhelming in moments. While this is Phoenix's film, Frances Conroy is quietly devastating as Arthur's mother Penny, and Zazie Beetz, as neighbour Sophie Dumond, while arguably underused, brings vital humanity to her scenes with Arthur. The most talked-about piece of casting was obviously Robert De Niro as late-night TV host Murray Franklin. Mention must be made of Joker's cello score by Hildur Guðnadóttir: mournful, dark and fractured, and the cinematography by Lawrence Sher. In his hands, Gotham is alive as a flawed, brutal, broken-hearted character in its own right. Joker isn't just an awesome comic book movie, it's an awesome movie, period. It offers no easy answers to the unsettling questions it raises about a cruel society in decline. Joaquin Phoenix's fully committed performance and Todd Phillips' masterful albeit loose reinvention of the DC source material make Joker a film that should leave comic book fans and non-fans alike disturbed and moved in all the right ways."
262,"Truly a masterpiece of filmmaking. I would without a doubt argue that Joaquin Phoenix holds one of the best performances of all time, this may even be the best performance I've ever witnessed in cinema. Truly truly a masterwork. People say it's violent but the world is violent, just most people who can afford to go to the movies are lucky enough that their bubble keeps the darker parts of the world out, but how long can we stay at such peace? Is the peace we hold real in the grand scheme of things? Or are we just fooling ourselves?"
264,"Featuring a riveting, fully realized, and Oscar-worthy performance by Joaquin Phoenix, Joker would work just as well as an engrossing character study without any of its DC Comics trappings; that it just so happens to be a brilliant Batman-universe movie is icing on the Batfan cake. You will likely leave Joker feeling like I did: unsettled and ready to debate the film for years to come. Clearly drawing its spirit and style from classic '70s and '80s films like Taxi Driver, The King of Comedy, A Clockwork Orange, and Dog Day Afternoon, director Todd Phillips' Joker presents a Gotham City that is unmistakably a stand-in for the hellish New York City of the era. It was a time when rampant crime, corruption, economic crises, and social ills saw it dubbed ""Fear City.""

This Gotham is a place of grimy despair, extreme wealth disparity, and festering lawlessness, teetering on the brink of collapse. While this realistic depiction makes a place that's typically fantastical seem familiar, it's not just the recognizable setting that gives Joker its hyper-realism; it's what it's allegorically about that makes the movie so believable, timely, and worth talking about long after the credits roll. Joker is a period piece but it is undeniably about our own troubled, relentlessly violent time.

Joker's setting (roughly 1981) not only allows the film to be a comic book version of classic Martin Scorsese or Sidney Lumet films, it also strips away the technology that nowadays would help catch such a madman sooner rather than later. This is a time when people smoked everywhere (including hospitals), security cameras and metal detectors weren't ubiquitous, and no one wore seat belts while driving. Times were bad but they could get even worse. Joker the character acts as the symbolic match to that waiting dynamite.

Unnervingly played by Joaquin Phoenix, the mentally ill Arthur Fleck is a struggling, overlooked schlepp trapped on the margins of society. Arthur is a man who has never had a good break or happy day in his life. The less said about how and why Arthur embraces the Joker persona and finds his liberation and joyful empowerment the better - this is a film meant to be experienced with an open mind and sans spoilers - but suffice it to say this Joker is the end result of a society far too comfortable with its casual cruelties and lack of empathy. We create the monsters we deserve.

Joker is an indictment of a society's collective disregard for the well-being of its citizens rather than necessarily critiquing any one type of individual or class. As much as you sympathize with their plight, Gotham's downtrodden can be as callous and vicious as the rich and powerful. Arthur is at one point or another injured emotionally or physically by individuals at every level, as well as by the institutions they populate. If Taxi Driver's Travis Bickle called himself ""God's lonely man"" then Arthur Fleck is certainly Gotham's lonely man. Arthur is ultimately seeking human connection, something he tragically won't find until he puts on a happy face and violently exposes the city's own hypocrisies and inhumanity.

Joker the film may ask viewers to empathize with its central protagonist but it doesn't ask us to forgive him for his increasingly evil choices. As many real-world parallels and inspirations can be uncomfortably drawn from Arthur's descent into violent madness, the film still knows he's deranged and not to be romanticized - merely understood. The Many Origin Stories of the Joker

The key to that careful calibration is not only Todd Phillips' sharp direction and clear vision but also Joaquin Phoenix's indelible performance. Arthur's uncontrollable laughter looks as though it physically pains him; his body is rail-thin and battered, his misery is etched on his deeply creased face. He looks healthier and livelier -- dare I say happier -- as he transforms into Joker than he ever does as Arthur. Phoenix captures all these tiny nuances in Arthur and his interactions with others that reveal so much about this disturbed individual's inner life.

The camerawork is often claustrophobically tight on Phoenix, who's in nearly every scene, all of which adds to the film never making me feel like I was anywhere but in Arthur's tortured headspace. As solid as Robert De Niro, Zazie Beetz and Frances Conroy are in their small roles here, this is Phoenix's film and he delivers a tour de force.

Considering the comic book Joker infamously once said he preferred his origin to be multiple choice, this movie wisely embraces the ambiguity of its title character, despite this seemingly being an origin story. Arthur's increasingly unstable mental state is reflected in the film as things grow progressively more dreamlike -- okay, nightmarish -- and violent in the homestretch.

Phillips (along with co-screenwriter Scott Silver) designed a film that demands multiple viewings; one of Joker's strengths is that anyone will be able to argue their side about what was real and what was imagined, and no one will be able to say another's read of it is inaccurate. For a movie about one of fiction's most unreliable narrators, we should expect nothing less.

Verdict

Joker isn't just an awesome comic book movie, it's an awesome movie, period. It offers no easy answers to the unsettling questions it raises about a cruel society in decline. Joaquin Phoenix's fully committed performance and Todd Phillips' masterful albeit loose reinvention of the DC source material make Joker a film that should leave comic book fans and non-fans alike disturbed and moved in all the right ways."
266,"Watched this film after hearing how great it was, but also aware it was a controversial film. Simply put - this is a marvellous film, you don't need to read any of the reviews i have watched it twice already and I'll most likely watch it again.

To my mind - it's a Masterpiece. I have the feeling this film will be talked about for a long time."
267,"There is no doubt in my mind that Joaquin Phoenix deserves at least an Oscar nod, if not the trophy itself. In an odd way, he reminded me of Sean Penn in that when you watch him, you forget he is an actor, all you see is the character. In reality, the rest of the cast were merely props in this one-man show... even Robert De Niro.

There are a lot of Easter Eggs as nods to other films of the late 70s and early 80s, which was cool.

As an origin story in the comic book universe, Joker was good, better than most. I do not judge movies based on how closely they follow a book or if they follow the rules of physics, but more if they entertain me and allow me to escape my reality for a few hours. In that sense, Joker left me wanting for more. Yeah, there are political nods that you can read into this, but they weren't forced onto the viewer, more of a backdrop.

The randomness of Joker's thinking and thoughts was in a word, distracting. Because the director put me in the lead character's psychosis, I had a hard time sympathizing with any character in the movie, which makes it difficult to connect to the story.

Maybe the real genius of the movie was that randomness, seeing the world through the psychotic mind of the Joker. But it didn't make for a hugely entertaining experience for me."
268,"Cinematography, costume design and one powerhouse performance do not a good movie make. In truth, Joker is poorly paced with a lackluster story that Frankenstiens together elements from The King of Comedy and Taxi Driver. It borrows so liberally I'm amazed it didn't get hit with a plagiarism lawsuit.

Additionally, the movie has the subtlety of a sledgehammer. It's sociological commentary is ham-fisted and bland, and it lacks any truly jaw-dropping moments. Outside of the Talk Show scene and a single shot near the end, it's all very forgettable.

And the song for the stair dance sequence was so colossally stupid it completely pulled me out of the film.

That being said, Joaquin was great and the aforementioned cinematography and costume design were very solid. All in all, the movie coasts on Phoenix's mesmerizing portrayal, but never goes far enough to really get under your skin. Biggest letdown of the year."
269,"I see a lot more great reviews for this now but when it first came I saw a lot of hate. I don't understand that at all, those people to me only wanted an action movie as they apparently didn't have the intelligence to understand a psychological thriller like this. As I stated, this wasn't trying to be an action movie, it wanted to show the Jokers transformation from harmless crazy guy down the street to full on psychotic criminal kingpin. I don't think this is really a major spoiler, but I loved how we were able to see young Bruce Wayne's story unfold in the background as well! I told my sister when we talked about a sequel that if she wanted to know what happens next, go straight to Christopher Nolan's Dark Knight, then you'll be able to watch two brilliant performances in a row as the Joker, (You were awesome, too, Bale, but this is about the Joker- lol). and basically see the whole story of his life in those two movies. But, that's not to say I'm not onboard with a Joker sequel! I think this is in the running, if not the front runner, for my best movie if the year, but I'll have to sit down and have a look at all the others I've seen! Awesome flick!"
270,This movie is stunning. Joaquin Phoenix performance as the Joker is one of the greatest of all time. Combine with an amazing script and Joaquin Phoenix's amazing performance give us a character driven film that is one of the best movies ever made.
271,Do your self a favour and watch this movie before it gotten spoiled
272,"Casting was really good. No crazy surprise breakaway performances - everybody fit their parts and held their own (which is hard in the face of Phoenix and DeNiro).

But the way the story unfolds, the foreshadowing, the grand revelations - absolutely masterful! Nobody would ever expect such good writing to be invested in a comic book villain origin story, but alas..."
273,"It is an awesome movie indeed. Orchestra, fotography, cinematography, Joaquin Phoenix did his best role performance ever. He is in it, and you will be consumed by this movie. Deserves every oscar! Movie of the year!"
274,Outstanding film. Acting was superb and this was a complete breath of fresh air compared to the other bang bang woo super hero films with zero depth. Joquin is an outstanding actor. Cinematagrophy was brilliant. I wouldn't ever call a film about comic book hero's powerful but Joker is indeed a powerful film
275,"A modern classic, ""Joker"" is dark, uncomfortable and uncompromising.

The perfect origins movie.

9 out of 10."
276,"Great performance by Joaquin Phoenix, dull story-line.."
